IP:PORT, LOSS, DELAY
188.114.98.156:928,60.00%,631 ms
188.114.97.59:4233,70.00%,730 ms
188.114.99.25:928,70.00%,741 ms
188.114.96.124:4233,70.00%,761 ms
188.114.98.185:928,70.00%,775 ms
188.114.98.72:4233,70.00%,796 ms
188.114.96.113:4233,90.00%,940 ms
162.159.193.5:928,100.00%,1000 ms
162.159.195.135:928,100.00%,1000 ms
162.159.192.233:4233,100.00%,1000 ms
162.159.192.73:928,100.00%,1000 ms
162.159.192.214:4233,100.00%,1000 ms
162.159.192.233:928,100.00%,1000 ms
162.159.193.5:4233,100.00%,1000 ms
162.159.193.77:4233,100.00%,1000 ms
162.159.193.125:4233,100.00%,1000 ms
162.159.192.223:928,100.00%,1000 ms
162.159.192.234:4233,100.00%,1000 ms
162.159.192.213:4233,100.00%,1000 ms
162.159.192.113:928,100.00%,1000 ms
162.159.192.88:4233,100.00%,1000 ms
162.159.195.16:928,100.00%,1000 ms
162.159.192.240:928,100.00%,1000 ms
162.159.192.234:928,100.00%,1000 ms
162.159.193.132:928,100.00%,1000 ms
162.159.192.144:4233,100.00%,1000 ms
162.159.193.132:4233,100.00%,1000 ms
162.159.192.113:4233,100.00%,1000 ms
162.159.192.144:928,100.00%,1000 ms
162.159.193.245:928,100.00%,1000 ms
162.159.192.214:928,100.00%,1000 ms
162.159.193.77:928,100.00%,1000 ms
162.159.193.173:4233,100.00%,1000 ms
162.159.192.190:4233,100.00%,1000 ms
162.159.192.62:4233,100.00%,1000 ms
162.159.192.54:4233,100.00%,1000 ms
162.159.192.62:928,100.00%,1000 ms
162.159.195.134:928,100.00%,1000 ms
162.159.193.208:928,100.00%,1000 ms
162.159.193.84:4233,100.00%,1000 ms
162.159.193.173:928,100.00%,1000 ms
162.159.193.246:4233,100.00%,1000 ms
162.159.192.179:928,100.00%,1000 ms
162.159.195.134:4233,100.00%,1000 ms
162.159.192.179:4233,100.00%,1000 ms
162.159.193.75:928,100.00%,1000 ms
162.159.195.135:4233,100.00%,1000 ms
162.159.192.240:4233,100.00%,1000 ms
162.159.192.54:928,100.00%,1000 ms
162.159.193.84:928,100.00%,1000 ms
162.159.193.152:928,100.00%,1000 ms
162.159.192.231:4233,100.00%,1000 ms
162.159.193.97:928,100.00%,1000 ms
162.159.193.245:4233,100.00%,1000 ms
162.159.193.105:928,100.00%,1000 ms
162.159.192.190:928,100.00%,1000 ms
162.159.192.231:928,100.00%,1000 ms
162.159.193.210:928,100.00%,1000 ms
162.159.193.125:928,100.00%,1000 ms
162.159.193.97:4233,100.00%,1000 ms
162.159.192.88:928,100.00%,1000 ms
162.159.192.73:4233,100.00%,1000 ms
162.159.195.13:4233,100.00%,1000 ms
162.159.195.13:928,100.00%,1000 ms
162.159.193.105:4233,100.00%,1000 ms
162.159.193.208:4233,100.00%,1000 ms
162.159.193.75:4233,100.00%,1000 ms
162.159.193.246:928,100.00%,1000 ms
188.114.97.80:4233,100.00%,1000 ms
188.114.97.103:928,100.00%,1000 ms
162.159.192.223:4233,100.00%,1000 ms
